match_thr,sample_size,n_iterations,error,corner_thr,patch_size,min_distance,In_count,Out_count,Avg_res,Avg_In_res
0.5,4,1000,0.2,0.0005,16,3,81,30,0.409935683181216,0.0
0.5,4,1000,0.2,0.0005,16,5,47,19,0.5212618812929962,0.0
0.5,4,1000,0.2,0.0005,32,3,22,16,15.849575486975581,0.0
0.5,4,1000,0.2,0.0005,32,5,16,12,15.513885110259915,0.0
0.5,4,1000,0.2,0.0005,48,3,5,24,14.71571227932393,0.025415398359736347
0.5,4,1000,0.2,0.0005,48,5,5,19,80.10469059602775,0.005594813698922207
0.5,4,1000,0.2,0.001,16,3,72,26,0.41927191092593746,0.0
0.5,4,1000,0.2,0.001,16,5,46,15,0.4404256553663442,0.0
0.5,4,1000,0.2,0.001,32,3,20,15,17.179539100144915,0.0
0.5,4,1000,0.2,0.001,32,5,15,10,17.170627098466397,0.0
0.5,4,1000,0.2,0.001,48,3,5,23,21.559641602646845,0.03444659085847605
0.5,4,1000,0.2,0.001,48,5,4,18,27.646821174443332,0.0
0.5,4,1000,0.2,0.005,16,3,67,19,0.3963796194272311,0.0
0.5,4,1000,0.2,0.005,16,5,45,13,0.4287235340921896,0.0
0.5,4,1000,0.2,0.005,32,3,20,14,17.791138344056986,0.0
0.5,4,1000,0.2,0.005,32,5,15,9,17.844403227569163,0.0
0.5,4,1000,0.2,0.005,48,3,5,19,31.71609688579957,0.033053287944633705
0.5,4,1000,0.2,0.005,48,5,5,16,12.967158875755516,0.015393843014855618
0.5,4,1000,0.2,0.01,16,3,57,16,0.42587188042112156,0.0
0.5,4,1000,0.2,0.01,16,5,41,11,0.26905201509451093,0.0
0.5,4,1000,0.2,0.01,32,3,18,13,19.1902807644496,0.0
0.5,4,1000,0.2,0.01,32,5,15,8,18.185464237463474,0.0
0.5,4,1000,0.2,0.01,48,3,4,19,27.028310646283188,0.0
0.5,4,1000,0.2,0.01,48,5,4,17,9.777486947072887,0.0
0.5,4,1000,0.3,0.0005,16,3,81,30,0.409935683181216,0.0
0.5,4,1000,0.3,0.0005,16,5,47,19,0.5212618812929962,0.0
0.5,4,1000,0.3,0.0005,32,3,22,16,15.849575486975581,0.0
0.5,4,1000,0.3,0.0005,32,5,16,12,15.513885110259915,0.0
0.5,4,1000,0.3,0.0005,48,3,5,24,13.629072932804574,0.025549439613566476
0.5,4,1000,0.3,0.0005,48,5,5,19,141.42261435839865,0.04509627654425494
0.5,4,1000,0.3,0.001,16,3,72,26,0.41927191092593746,0.0
0.5,4,1000,0.3,0.001,16,5,46,15,0.4404256553663442,0.0
0.5,4,1000,0.3,0.001,32,3,20,15,17.179539100144915,0.0
0.5,4,1000,0.3,0.001,32,5,15,10,17.170627098466397,0.0
0.5,4,1000,0.3,0.001,48,3,5,23,20.153969216385537,0.05653568675532211
0.5,4,1000,0.3,0.001,48,5,5,17,21.290025342855884,0.055019852404051516
0.5,4,1000,0.3,0.005,16,3,67,19,0.3963796194272311,0.0
0.5,4,1000,0.3,0.005,16,5,45,13,0.4287235340921896,0.0
0.5,4,1000,0.3,0.005,32,3,20,14,17.791138344056986,0.0
0.5,4,1000,0.3,0.005,32,5,15,9,17.844403227569163,0.0
0.5,4,1000,0.3,0.005,48,3,5,19,19.327384422057253,0.04590732660858627
0.5,4,1000,0.3,0.005,48,5,5,16,12.967158875755516,0.015393843014855618
0.5,4,1000,0.3,0.01,16,3,57,16,0.42587188042112156,0.0
0.5,4,1000,0.3,0.01,16,5,41,11,0.26905201509451093,0.0
0.5,4,1000,0.3,0.01,32,3,18,13,19.1902807644496,0.0
0.5,4,1000,0.3,0.01,32,5,15,8,18.185464237463474,0.0
0.5,4,1000,0.3,0.01,48,3,5,18,14.382295947886853,0.03416742186491896
0.5,4,1000,0.3,0.01,48,5,5,16,12.967158875755516,0.015393843014855618
0.5,4,1000,0.4,0.0005,16,3,81,30,0.409935683181216,0.0
0.5,4,1000,0.4,0.0005,16,5,47,19,0.5212618812929962,0.0
0.5,4,1000,0.4,0.0005,32,3,22,16,15.849575486975581,0.0
0.5,4,1000,0.4,0.0005,32,5,16,12,15.513885110259915,0.0
0.5,4,1000,0.4,0.0005,48,3,5,24,8086.175034586454,0.033315291566225584
0.5,4,1000,0.4,0.0005,48,5,5,19,26.0617763555921,0.07149080041763889
0.5,4,1000,0.4,0.001,16,3,72,26,0.41927191092593746,0.0
0.5,4,1000,0.4,0.001,16,5,46,15,0.4404256553663442,0.0
0.5,4,1000,0.4,0.001,32,3,20,15,17.179539100144915,0.0
0.5,4,1000,0.4,0.001,32,5,15,10,17.170627098466397,0.0
0.5,4,1000,0.4,0.001,48,3,5,23,54.30592856408594,0.059501897735795305
0.5,4,1000,0.4,0.001,48,5,5,17,13.848163030717878,0.024833211117975484
0.5,4,1000,0.4,0.005,16,3,67,19,0.3963796194272311,0.0
0.5,4,1000,0.4,0.005,16,5,45,13,0.4287235340921896,0.0
0.5,4,1000,0.4,0.005,32,3,20,14,17.791138344056986,0.0
0.5,4,1000,0.4,0.005,32,5,15,9,17.844403227569163,0.0
0.5,4,1000,0.4,0.005,48,3,5,19,11.040698602911027,0.05848143725121634
0.5,4,1000,0.4,0.005,48,5,5,16,12.967158875755516,0.015393843014855618
0.5,4,1000,0.4,0.01,16,3,57,16,0.42587188042112156,0.0
0.5,4,1000,0.4,0.01,16,5,41,11,0.26905201509451093,0.0
0.5,4,1000,0.4,0.01,32,3,18,13,19.1902807644496,0.0
0.5,4,1000,0.4,0.01,32,5,15,8,18.185464237463474,0.0
0.5,4,1000,0.4,0.01,48,3,5,18,1577.3410538230683,0.0753075406253084
0.5,4,1000,0.4,0.01,48,5,5,16,20.33745730966515,0.07521008564689118
0.5,4,1000,0.5,0.0005,16,3,81,30,0.409935683181216,0.0
0.5,4,1000,0.5,0.0005,16,5,47,19,0.5212618812929962,0.0
0.5,4,1000,0.5,0.0005,32,3,22,16,15.849575486975581,0.0
0.5,4,1000,0.5,0.0005,32,5,16,12,15.513885110259915,0.0
0.5,4,1000,0.5,0.0005,48,3,5,24,16.252464087290885,0.023034966969229898
0.5,4,1000,0.5,0.0005,48,5,5,19,61.1172538690166,0.03544536775237224
0.5,4,1000,0.5,0.001,16,3,72,26,0.41927191092593746,0.0
0.5,4,1000,0.5,0.001,16,5,46,15,0.4404256553663442,0.0
0.5,4,1000,0.5,0.001,32,3,20,15,17.179539100144915,0.0
0.5,4,1000,0.5,0.001,32,5,15,10,17.170627098466397,0.0
0.5,4,1000,0.5,0.001,48,3,5,23,16.929457081623625,0.07719336542981702
0.5,4,1000,0.5,0.001,48,5,5,17,13.73017472401358,0.08949093940801986
0.5,4,1000,0.5,0.005,16,3,67,19,0.3963796194272311,0.0
0.5,4,1000,0.5,0.005,16,5,45,13,0.4287235340921896,0.0
0.5,4,1000,0.5,0.005,32,3,20,14,17.791138344056986,0.0
0.5,4,1000,0.5,0.005,32,5,15,9,17.844403227569163,0.0
0.5,4,1000,0.5,0.005,48,3,5,19,79.87234559674128,0.07573615660764696
0.5,4,1000,0.5,0.005,48,5,5,16,11.687930218479762,0.08949093940801986
0.5,4,1000,0.5,0.01,16,3,57,16,0.42587188042112156,0.0
0.5,4,1000,0.5,0.01,16,5,41,11,0.26905201509451093,0.0
0.5,4,1000,0.5,0.01,32,3,18,13,19.1902807644496,0.0
0.5,4,1000,0.5,0.01,32,5,15,8,18.185464237463474,0.0
0.5,4,1000,0.5,0.01,48,3,5,18,11.531946934073751,0.05848143725121634
